"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Grandi !","Un ristorante self-service, una mensa, un luogo di aggregazione! Locali accoglienti, personale fantastico, e dei menù che ti fanno sentire a casa. Molta varietà e tanta qualità. Ormai un appuntamento fisso per il pranzo settimanale a Cesena. Complimenti!"
"ui_bubble_rating bubble_40","Un ottimo self service","E' un self service di ottima qualità, con ampia scelta e prodotti buoni. C'è anche il bar interno. Inoltre molti tavoli disponibili ed un ambiente curato e pulito"
"ui_bubble_rating bubble_40","Gradevole location","È un self service ben organizzato è facile da raggiungere. Le pietanze sono le tipiche della cucina italiana tradizionale/regionale. Ottimamente preparate e vario per ogni giorno della settimana. Ottimo il rapporto qualità prezzo. Il personale è molto cortese e gioviale. Locale molto apprezzato soprattutto da persone che devono consumare un pasto velocemente, ma anche da coloro che possono dedicare al pranzo anche qualche minuto in più. "
"ui_bubble_rating bubble_30","Mensa di qualità","Lavorando a Cesena, capita spesso mi trovi a pranzare in questo locale e bisogna ammettere che c'è sempre un'ottima scelta di pietanze, ben preparate e in quantità giuste.buono anche il rapporto con io personale, in sostanza ne vale la pena"
"ui_bubble_rating bubble_50","Miglior mensa di cesena?","Bene posso dire di aver provato tutte le mense di cesena, il Cibus batte tutti per qualità e servizio. Ricordiamoci che è una mensa, ci sono comunque piatti non banali, ampia scelta, possibilità di interagire con il personale per eventuali esigenze fuori standard e ambiente accoglievole."
"ui_bubble_rating bubble_50","Cos'altro chiedere ad un self-service","In quasi 10 anni di lavoro nel cesenate di ristoranti e mense ne ho provate parecchie ma nessuna con lo stesso rapporto qualità/prezzo. Mi fermo spesso in pausa pranzo e ogni volta rimango piacevolmente sorpreso dalla varietà di proposte dello chef. Piatti top: Paella alla Valenciana e Fettine di manzo alla palermitana."
"ui_bubble_rating bubble_30","Una mensa curata","Per essere una mensa, tutto è molto curato. Dall'arredamento, al cibo, al servizio. La sensazione è di essere in un ristorante e già questo è molto. In più la varietà e la qualità sono da servizio superiore."
"ui_bubble_rating bubble_30","Il top dei Self Service ","Ho provato questo self service diverse volte è devo dire che non mi ha mai deluso. Le pietanze vengono cambiate sempre e quindi si possono provare sempre cose nuove e devo dire preparate discretamente. Non posso dare un punteggio alto come ristorante perché, ovviamente, non c'è servizio ed impiattamento, ma come self service non ho provato niente di meglio. Le porzioni sono abbondanti e il prezzo coerente con la tipologia di ristorazione. C'è sempre anche una vasta scelta di insalate e piatti freddi, è prevista sempre anche un po' di pizza e hamburger; insomma si trova qualcosa per tutti i gusti. Il personale è gentile e sorridente e non guasta quando si fa una pausa dal lavoro. Interessante anche l'idea di un angolo di book crossing che per chi frequenta spesso il posto, da la possibilità di leggere anche un libro.Un locale che consiglio per le pause di lavoro!PS: è aperto solo a pranzoLocation **Menù ***Servizio **Conto ****Pro: ogni giorno piatti diversiContro: manca intimità (come tutti i self service)"
"ui_bubble_rating bubble_40","piatti abbondanti e cibo sempre diverso","è soprattutto una mensa per lavoratori, ma di ottima qualità.i piatti variano ogni giorno.personale molto gentile"
"ui_bubble_rating bubble_50","piatti da ristorante con la praticità della mensa","Locale curato in cui è possibile consumare una ottima varietà di piatti (primi e secondi classici, hamburger veloci, piatti freddi, etc.) con la qualità di un ristorante e la praticità della mensa. Personale cortese e fascia di prezzo proporzionata (possibilità di menu del giorno a prezzo da mensa). Consigliato"
"ui_bubble_rating bubble_40","Ottimo per pranzi veloci","Ottimo per pranzi veloci, dove gustare piatti caldi in un luogo tranquillo e confortevole, a prezzo medio-buono (quel medio è proprio il motivo per cui il voto non è pieno);"
"ui_bubble_rating bubble_40","ottimo pranzo","sono stato più volte per pranzo in pausa di lavoro. mi era stata anticipata come se fosse una mensa aziendale, in realtà può averne la struttura ma è un ottimo ristorante, dove con la formula mensa contieni i costi, ma quello che è importante è la qualità del cibo, varietà dei piatti, menù sempre aggiornato e variato e cortesia del personale.si mangia velocemente, con soddisfazione del palato e della gola, con ottimo rapporto qualità prezzo."
"ui_bubble_rating bubble_50","sempre meglio","Il presidio Slow Food di Cesena ha presentato la sua guida dei vini 2016 in questo ristorante.Avevo ben valutato questo self-service, definendolo uno dei migliori ristoranti di Cesena. e la scelta di SF conferma la mia valutazione.Vi elenco i piatti della serata, Una selezione ,come antipasto, di salumi, formaggi e tartare di manzo arrostita. Come primo spaghettini di Campofilone con prosciutto e limone, una vera squisitezza,Come secondo un maialino arrosto, accompagnato da spuma di verza, patatine croccanti e cardi di Pinarella in umido, piatti tutti accompagnati da piadina calda.Infine pasticceria secca assortita e crostata al farro integrale con confettura della casa.I vini , almeno 6, scelti da SF e presentati alcuni, ad. esempio una albana paradisiaca, dai produttori stessi, così come i salumi, formaggi e le carni.Una serata irripetibile, ma noi continueremo a venire qui, mia moglie ed io, per la capacità professionale dello staff in cucina per la gentilezza del personale tutto, ma sopratutto per la bonta dei piatti e per il loro genuino sapore..i prezzi sono onestissimi"
"ui_bubble_rating bubble_40","Bello","Ci siamo fermati per un pranzo di lavoro... Self service decisamente sopra la media ... Molto bello da vedere e cibo abbastanza ricercato e buono... Ottima scelta con bellissime scelte ... Prezzo nella norma con i self service e per la qualità che offre.."
"ui_bubble_rating bubble_50","Un ottimo esempio","La location è tristuanzuola (all'interno di una zona produttiva/commerciale), ma il locale sorprende: ben curato, con un ottimo servizio e prodotti di qualità. Ottima la disponibilità dei titolari. Da premiare andandoci."
"ui_bubble_rating bubble_40","Ottima pausa lavoro","Vado a mangiare al cibus durante la pausa lavoro e devo dire che la qualità e la varietà delle proposte è veramente molto buona.Il personale è tutto molto gentile e disponibile, ci andrei sempre a pranzo anche al sabato peccato che sia chiuso."
"ui_bubble_rating bubble_50","Un fast food da cinque stelle","Trovato tramite TripAdvisor durante un viaggio dall'Abruzzo verso Venezia, lo abbiamo preferito alla solita sosta in autostrada, e la breve deviazione che abbiamo fatto ci è stata debitamente ripagata.Cibus è un Self Service dove generalmente mangiamo persone in pausa pranzo, ma la qualità delle pietanze è ottima. Anche la scelta è variegata, abbiamo trovato finanche gli spaghetti integrali.Il personale si è mostrato gentile e disponibile sia al ristorante che al bar.È stato facile parcheggiare.Prezzi modici. Consigliato!"
"ui_bubble_rating bubble_50","Il top per la pausa pranzo!","Premetto che non sono uno che recensisce tanti locali, però questo merita la mia attenzione. E' un posto molto semplice e arredato in maniera rustica e allo stesso tempo un tocco di eleganza. Mangio in questo posto tutti i giorni nella pausa pranzo, a Cesena rimane il migliore in questo aspetto.I cibi sono sempre freschi e cucinati al meglio, ogni tanto si trovano anche prelibatezze al banco. Lo consiglio vivamente!!Uniche note negative il coperto da pagare in un self service e il prezzo un po alto per alcuni contorni miseri. Per il resto è perfetto!"
"ui_bubble_rating bubble_30","Valido per essere un self","Sono passato qui per lavoro e devo dire che i pasti sono assolutamente nella media per essere un self. Ho preso insalata di pesce e mix di verdure cotte e macedonia, tutto buono ed a buon mercato. Sopra la media del settore."
"ui_bubble_rating bubble_30","Un self service gradevole","Sono stato per lavoro in zona e mi sono fiondato in questo self service carino e abbordabile come prezzi: ho mangiato un primo e un'insalata, ho speso il giusto credo, era tutto più che discreto, l'ambiente grande, pieno di gente è vero, ma abbastanza ordinato e pulito. Se ricapito in zona ci torno senz'altro."
"ui_bubble_rating bubble_30","Self Service ben curato per chi lavora in zona","Cibus non è un ristorante ma una mensa, ha la particolarità di essere al primo piano di un edificio dentro al Centro Coming di Cesena, quindi occorre fare le scale per accedere, ma è disponibile anche un ascensore. Il cibo è buono, forse come mensa è un pelo costosa, ma offre tante varietà di piatti self-service, per cui ci si può ritagliare un pranzo decente praticamente con ogni spesa. Hanno anche una combinazione del giorno a prezzo fisso, entro le 10 euro."
"ui_bubble_rating bubble_30","Difficile recensirlo...","Sorprendentemente, ho trovato Cibus tra i ristoranti di Cesena. Ora, nella mi personale considerazione, in un ristorante un ruolo non secondario lo ha il servizio che, ovviamente, in un self service é assente. Da qui la valutazione nella media perché né il cibo, né l'ambientazione (il primo piano di un capannone industriale nella periferia cesenate) mi paiono notevoli di particolari menzioni. Certo, rimane il fatto che con circa 10€ si mangia più che decentemente (che non é poco, soprattutto per un veloce pranzo di lavoro); ma se in un ristorante cercate altro oltre al semplice cibo, vi invito ad andare altrove..."
