"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_30","Assolutamente da migliorare","Dispiace molto postare un giudizio non positivo su un ristorante che ha tante recensioni favorevoli, ma che soprattutto è gestito da giovani che andrebbero giustamente incoraggiati, ma tant’è, l’esperienza che abbiamo fatto un sabato a pranzo io e mia moglie non si può considerare adeguata.Il locale sede di un vecchio ristorante è stato completamente rinnovato e si presenta bene anche se con un ambiente un po' freddino per miei gusti, ma il problema è proprio il cibo; devo precisare che abbiamo mangiato a pranzo e ci siamo limitati ad assaggiare due piatti, quindi il locale merita una prova di appello, ma i Pici con Fiori di Zucca , gamberi e pane croccante alla ’Nduja e le orecchiette con la crema di broccoli acciughe e pomodori ci sono stati serviti completamente insipidi, ma soprattutto privi di qualsiasi accento di sapore, forse il locale è più indirizzato a palati stranieri e quindi si mantiene su sapori molto neutrali, ma francamente nel nostro caso i piatti, duole dirlo, erano quasi insapori, considerato anche che nei pici si parlava di ‘Nduja un elemento che si caratterizza fortemente e che invece non era quasi percepibile.Per il resto porzioni adeguate e servizio impeccabile condotto da ragazze giovani molto professionali e cortesi, assolutamente inadeguato il rapporto qualità prezzo, trenta euro e spiccioli per due primi e una bottiglia di minerale."
"ui_bubble_rating bubble_50","Consigliatissimo","Sono stata a cena con amici in questo locale nel centro storico di Firenze.Il posto è facilmente raggiungibile a piedi e con i mezzi pubblici.Il personale è cortese e disponibile, Si evince dall'accoglienza la loro energia positiva.Il cibo è ottimo... Ho apprezzato il risotto alla bohème, piatto equilibrato e particolarmente sorprendente... ottimo il mix tra la semplicità degli ingredienti e il gusto. L'ambiente è moderno e molto accogliente.Ottima la scelta dei vini! Consigliatissimo"
"ui_bubble_rating bubble_40","Classe e qualità","Personale cortese e professionale, cibo molto buono: ottimo il filetto, buone le linguine scampi e liquirizia.Buon rapporto qualità/prezzo."
"ui_bubble_rating bubble_50","Spettacolo","Ritorno a distanza di tempo con la mia famiglia,e devo dire che vi siete veramente superati. Pici con gamberi e pane alla Ndjua veramente strepitosi,per non parlare del filetto di maiale... tiramisù super!! Lo consiglio"
"ui_bubble_rating bubble_50","Un piatto tira l'altro","Delizioso ristorante se volete passare una serata tranquilla mangiando degli ottimi piatti. Tutto molto buono dall'antipasto al dolce!"
"ui_bubble_rating bubble_40","Molto bello","Si mangia bene, il personale è attento e i prezzi sono giusti. Piacevole il locale anche all'interno. Consigliabile sia a pranzo che a cena, quando ci sono stata io c'era anche il menù del giorno."
"ui_bubble_rating bubble_50","Molto soddisfatti","Sono ritornato in questo ristorante per cena e devo dire che la qualità si conferma sempre al top! Che dire complimenti"
"ui_bubble_rating bubble_50","Top","ConsigliatissimoOttima accoglienza, cibo molto buono, ottima scelta dei vini da abbinare alla carne,servizio buono ragazzi molto preparati e disponibili ,lo consiglio vivamente"
"ui_bubble_rating bubble_50","Bella serata!","Ho veramente apprezzato questo ristorante....per la location, per il personale e per il cibo gustato... tutto squisito! Se vi trovate nei paraggi, concedetevi un pranzo/cena"
"ui_bubble_rating bubble_50","Piatti particolari e buonissimi! ","Ho cenato qui la sera del primo dell’anno e ho notato subito un ambiente tranquillo, semplice ma allo stesso tempo raffinato! Vengono proposti dei piatti del giorno e nel menù sono presenti piatti di vario genere e anche particolari. La ragazza che ci ha servite è stata veramente disponibile e gentile e quindi, che dire? Cibo buonissimo, abbiamo trascorso veramente una bella serata! "
"ui_bubble_rating bubble_50","Meraviglioso","Sono stato a cena con mia moglie in questo grazioso ristorante, abbiamo mangiato benissimo. Personale gentile e sempre pronto a soddisfare le nostre richieste. Ve lo consiglio se volete passare una serata romantica!"
"ui_bubble_rating bubble_50","Cena perfetta ","Abbiamo cenato qui il primo dell’anno, prenotando il giorno stesso senza nessun problema. Locale molto carino personale cordiale. Tagliere toscano ottimo, la Fiorentina buona! Ottimo il rosso di Montalcino! La cameriera (quella alta e mora) è stata molto gentile, disponibile e molto professionale ! "
"ui_bubble_rating bubble_50","Qualità diesci, conto diesci","Io e il mio ragazzo ci siamo trovati benissimo sin dall'accoglienza calorosa da parte di tutto il personale del ristorante. Abbiamo ordinato una super fiorentina -veramente ottima. Sia la location che l'atmosfera sono perfetti per una cena romantica come per una tra amici o familiari, senza uscire spennati. Vivamente consigliato."
"ui_bubble_rating bubble_50","Molto bello","VERAMENTE BELLO! ristorantino come pochi, curato nei dettagli e super buono. Prezzi alla portata di tutte le tasche"
"ui_bubble_rating bubble_50","Andateci!","Lo consiglio a chi cerca un ristorante per un ottima cena. Direi uno dei migliori...solo complimenti per i ragazzi della bohème. Menù squisito"
"ui_bubble_rating bubble_50","Raffinato nel modo giusto ","Ottimo ristorante in posizione strategica. Piatti raffinati, risotto alla bohème superlativo. Location molto bella e ampia carta dei vini. "
"ui_bubble_rating bubble_50","Consigliatissimo","Per soddisfare le migliori esigenze bisogna scegliere la boheme. Ottimo servizio con piatti di altissima qualità... Location bella e posizione strategica "
"ui_bubble_rating bubble_50","Super","Ottima cena con il mio fidanzato,in questo bellissimo ristorante. Ci sono stata giovedì sera e devo dire che siamo rimasti veramente contenti. Antipasto toscano,pappardelle al cinghiale e cheese cake come dessert,sono stati veramente un esperienza culinaria. Lo consiglio"
"ui_bubble_rating bubble_50","Cena aziendale","Sono tornata alla boheme con i miei colleghi in occasione della cena aziendale.Il personale è stato molto disponibile e si é mostrato decisamente competente... Ottima la proposta dei vini... L'accoppiata ragù di cinghiale e cioccolato decisamente sublime... Una piacevolissima sorpresa. La torta al Cioccolato un'esplosione per il palato.Lo consiglio."
"ui_bubble_rating bubble_50","Cena con amici","Tutto molto squisito, gentilezza e cortesia. Vengo qui sempre con piacere, lo consiglio a tutti. 5 stelle meritate!"
