"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"","",""
"ui_bubble_rating bubble_50","Una coccola dolce","Un bar super accogliente alle porte di Cesena. Assolutamente da provare. La cameriera è decisamente il TOP"
"ui_bubble_rating bubble_50","Ottima colazione","Paste veramente buone e super gentilezza delle ragazze ! Davvero consigliato fateci un salto se siete in zona"
"ui_bubble_rating bubble_40","UN PO' CAOTICO","Sono stata qui per colazione, ho visto un po' di disorganizzazione.. immagino che sia complicato gestire tutto.. paste molto buone, ma non lo consiglio come posto dove gustarsi con calma la propria colazione"
"ui_bubble_rating bubble_30","Buono..","Pasticceria che offre una buona varietà di paste dolci e salate.Tra le creme preferisco quella al cioccolato.Tra gli impasti consiglio l’integrale e la sfoglia."
"ui_bubble_rating bubble_10","Personale maleducato","Sono andata alcune volte nel locale ed in tutte le occasioni non ho potuto che notare la maleducazione e l'indolenza delle bariste: non salutano nè quando entri nè quando esci (evidentemente salutano solo i clienti abituali...), ti servono trasmettendo una sorta d'insofferenza (quasi dessi loro fastidio), e, mentre lo fanno, magari, chiacchierano amabilmente tra di loro con tanto di smartphone personale in mano... Peccato, perchè le paste sono buone, ma ci sono tante altre buone pasticcerie a Cesena."
"ui_bubble_rating bubble_50","Pasticcini deliziosi","Locale molto ampio e con tanti tavolini. Bel bancone pieno zeppo di pasticcini e paste grandi con possibilità di scelta delle salate. Zona caffè attiva. Personale cortese e sorridente. Un altro punto a favore: trovare una pasticceria aperta di lunedì (e martedì) è difficile a Cesena. Ho acquistato un cabert di mignon a buon prezzo rispetto alla media."
"ui_bubble_rating bubble_30","Colazioni.","Mi fermo a colazione, buone le paste e buona la pasticceria. Personale cordiale e sempre sorridente. Continuate così."
"ui_bubble_rating bubble_40","Massima gentilezza, disponibilita' e professionalita' del personale","In qualsiasi orario della giornata si vada,sia per la colazione che per l'aperitivo ,è particolarmente apprezzabile la massima gentilezza,disponibilità e professionalità della titolare e di tutto il personale!Buono il caffe' e il salato!Complimenti!Continuate così!"
"ui_bubble_rating bubble_30","Era meglio prima","Servizio e cucina ok, antispati e carne sono il top ma anke i primi sono molto buoni. Molto buono il vino della casa.Locale tranquillo ed accogliente.Consigliato"
"ui_bubble_rating bubble_40","Molto bene","Ottimo il caffè, gentili le dipendenti, di qualità le paste. Un bar pasticceria ottimo da freqnuentare."
